Day,Acrodictys,Agrocybe,Algae,Alternaria,Arthimium,Ascomycetes,Asperisporium,Basidiomycetes,Beltrania,Botrytis,Cercospora,Cladosporium,Curvularia,D. Conidia/Hyphae,Dendryphiella,Drechslera/Helmintho.,Dichotomophthora,Diplococcum,Epicoccum,Fusariella,Ganoderma,Helicomina,Microsporum,Misc. Fungus (Hyaline),Monodictys,Myxomycete/Smut,Nigrospora,Penicillium/Aspergillus,Periconia,Pithomyces,Powdery Mildew,Puccinia,Rust,Spegazinia,Stemphyllium,Tetrapola,Tilletia,Torula,Pestalotiopsis,Pseudocercospora,Polythrincium,Pleospora
032,0,0,21.3,46.7,0,1740,0,270.3,0,0,47.3,2076.7,55.3,0,0,16,0,0,17.7,0,0,0,0,0,0,198.3,19.3,117.3,20,7.3,3.3,0,18,3.3,0,0,0,7.3,0,0,0,0
033,0,0,16,20,0,717,0,514,0,0,47.5,1511,74,0,0,48.5,0,0,33,0,0,0,0,0,0,341,31,148,38,9,0,0,21,9,0,1,0,29,0,0,0,0
034,0,0,36,95.5,0,1188.5,0,256.5,0,0,110,3801,117,0,0,87.5,0,0,18,0,0,0,0,0,0,457.5,56,220,59,6,9,0,32,17,3,3,0,33,0,0,0,0
035,0,0,30,56.5,0,439,0,176.5,0,0,21,2559,29,0,0,25.5,0,0,0,0,0,0,0,0,0,184,6,126,10,3,3,0,6,14,3,0,0,13,0,0,0,0
036,0,0,141.7,20.7,0,1728,0,304.7,0,0,104.7,2308.7,13.3,0,0,0,0,0,27.3,0,0,0,0,0,0,211.3,4.7,203.3,3.3,0,2,0,4.7,2,11.3,0,0,2.7,0,0,0,0
037,0,0,2.7,14,0,1880.7,0,361.3,0,0,114.7,3487.3,12,0,0,21.3,0,0,8,0,0,0,0,0,0,174.7,4.7,50.7,12,5.3,0.7,0,2.7,2,4,0.7,0,6.7,0,0,0,0
038,0,0,48,11,0,1502.5,0,263,0,0,56,1726.5,16,0,0,4,0,0,0,0,0,0,0,0,0,31.5,1,181,5,1,0,0,2,3,0,0,0,1,0,0,0,0
039,0,0,9.3,25.3,0,2363.7,0,360,0,0,71.3,1583.7,32,0,0,16.7,0,0,3.3,0,0,0,0,0,0,134,12,164,14,4,6.7,0,22.7,2.7,3.3,1.3,0,18.7,0,0,0,0
040,0,0,37.3,19.3,0,1372.3,0,373.3,0,0,80,2637,57.7,0,0,31.3,0,0,25.7,0,0,0,0,0,0,246.3,18,190.7,16,2.7,1.3,0,5.3,4.7,2,4.7,0,29.3,0,0,0,0
041,0,0,89.5,89.5,0,1942.8,0,527.5,0,0,139,3589.8,70.2,0,0,37.2,0,0,30.2,0,0,0,0,0,0,381.5,17,229,29,2,1,0,17,2.5,3,4.5,0,18,0,0,0,0
042,0,0,29.5,75,0,2103.8,0,683.8,0,0,330.5,4499.2,56,0,0,22.5,0,0,13,0,0,0,0,0,0,738.2,18,217.5,30,4.5,2,0,3,4,20,2,0,8.5,0,0,0,0
043,0,0,50,37.5,0,3784.5,0,450.8,0,0,221.5,2046,10,0,0,15.5,0,0,10.5,0,0,0,0,0,0,250.5,6,269,15.5,7,0,0,3.5,5,17,4,0,1,0,0,0,0
044,0,0,31.8,50.2,0,2259.2,0,441,0,0,113.8,2476.5,50.5,0,0,17.5,0,0,25,0,0,0,0,0,0,287.8,23.5,264.8,35.5,6,3,0,8,4.5,8,2,0,22,0,0,0,0
045,0,0,28.5,33.5,0,2674.2,0,521,0,0,82,2075.5,58,0,0,7.5,0,0,8.5,0,0,0,0,0,0,207.2,22.5,400,22,7,4,0,9,7,5,2.5,0,15.5,0,0,0,0
046,0,0,28,14.5,0,1591.2,0,383.2,0,0,79,1373.8,36.5,0,0,18.5,0,0,8,0,0,0,0,0,0,204.8,18,91,16,1.5,1,0,17,4.5,2,2,0,6,0,0,0,0
047,0,0,110.8,26.2,0,1347.5,0,426.5,0,0,77.5,1144.5,18.5,0,0,19.5,0,0,6.5,0,0,0,0,0,0,215,13.5,268.8,13.5,9.5,0,0,17.8,9,24.5,1,0,11,0,0,0,0
048,0,0,244.5,66.5,0,1890,0,744.2,0,0,164.5,3614.5,18,0,0,19.5,0,0,29.5,0,0,0,0,0,0,261.8,14.5,237,16.5,0,5,0,25,2,45.8,0,0,9,0,0,0,0
049,0,0,193,199.3,0,3742.7,0,1994.7,0,0,293,6185,31.7,0,0,46.7,0,0,59.3,0,0,0,0,0,0,470,25.3,595,60,6.7,0,0,22.3,8,16.7,0,0,79,0,0,0,0
050,0,0,28,22,0,2686,0,316,0,0,114,1728,72,0,0,40,0,0,0,0,0,0,0,0,0,16,16,276,0,2,0,0,12,0,0,0,0,0,0,0,0,0
051,0,0,8.7,87.7,0,2984,0,933.3,0,0,146.7,4376,29.3,0,0,17.3,0,0,30.3,0,0,0,0,0,0,131.7,9.3,250.7,55,4,0.7,0,17,5.3,4,0,0,15,0,0,0,0
052,0,0,31.5,25.5,0,3807.2,0,792.2,0,0,129,3238.8,60.2,0,0,20,0,0,15.5,0,0,0,0,0,0,288.8,27.5,662.5,21,5,1,0,10,2.5,4,1,0,0,0,0,0,0
053,0,0,47.5,31,0,2740.2,0,631.2,0,0,197.2,3266.2,78.5,0,0,36.5,0,0,5,0,0,0,0,0,0,186.8,51.8,222,18,9.5,5.5,0,2,3.5,21,3,0,2.5,0,0,0,0
054,0,0,45.8,64.8,0,3435.8,0,969,0,0,231.2,4063,108.5,0,0,42.5,0,0,16.8,0,0,0,0,0,0,406.2,45.8,237,31.5,17.5,5,0,12,2.5,18.5,10,0,5,0,0,0,0
055,0,0,35.4,57.6,0,3082.8,0,670.4,0,0,157.2,3264.6,144.4,0,0,38.8,0,0,6.4,0,0,0,0,0,0,218.2,41,151.8,30.4,13.6,7.2,0,19.6,3.2,7.2,4.4,0,8,0,0,0,0
056,0,0,7.2,32.8,0,1664.4,0,503,0,0,85.2,3095.2,100,0,0,22.4,0,0,2.4,0,0,0,0,0,0,143.6,15.2,222.6,32.8,0.8,4,0,7.2,0.4,10,0.4,0,1.6,0,0,0,0
057,0,0,24,2,0,1709.7,0,456.3,0,0,113.3,2881,40.7,0,0,12.7,0,0,6,0,0,0,0,0,0,85,28,104,13.3,2.7,0.7,0,2,2,4.7,3.3,0,0.7,0,0,0,0
058,0,0,30.8,71,0,3609.5,0,648.8,0,0,141.5,4815,130.8,0,0,39.5,0,0,17.5,0,0,0,0,0,0,313.5,32,179.2,22,9,2,0,15.5,2,1,0.5,0,6,0,0,0,0
059,0,0,10,9.5,0,3515.5,0,558.2,0,0,68.8,2751,33.8,0,0,11.5,0,0,0,0,0,0,0,0,0,174.2,32.2,93.8,4.5,3,2.5,0,10,3,2,0,1,1,0,0,0,0
060,0,0,8,22.5,0,2193,0,352.8,0,0,19.5,1767,61,0,0,15,0,0,2,0,0,0,0,0,0,140.2,12,110.8,2,3.5,0.5,0,13,0,0,0,0,2.5,0,0,0,0
061,0,0,0,83,0,1075.7,0,514,0,0,86,2061,57.7,0,0,30.7,0,0,2,0,0,0,0,0,0,201.3,21.3,63.7,20.7,3.3,2,0,18.7,6,0.7,3.3,0,2,0,0,0,0
062,0,0,15.2,116.2,0,1515,0,925.6,0,0,113.4,3880.4,68.4,0,0,55.8,0,0,2.8,0,0,0,0,0,0,244.4,34.8,109.4,18.8,3.2,2,0,18.8,1.6,2.4,0.8,0,6.8,0,0,0,0
063,0,0,19.2,156.8,0,1145.6,0,531.6,0,0,165.4,4186.6,114.6,0,0,67.2,0,0,10.4,0,0,0,0,0,0,297.6,40.8,178.8,14.4,8,1.6,0,22.8,6,3.2,2.8,0,6.4,0,0,0,0
064,0,0,0,29,0,1919.8,0,518.8,0,0,59.2,2810.8,87.8,0,0,29,0,0,1,0,0,0,0,0,0,160.8,37,146.5,11.5,1.5,1.5,0,16,3.5,1,0,0,4,0,0,0,0
065,0,0,34.2,42.8,0,1432,0,480.8,0,0,67.2,2815.2,83,0,0,23.5,0,0,5,0,0,0,0,0,0,252.8,39.8,226.2,19,2.5,3.5,0,23,4,0.5,3.5,0,9,0,0,0,0
066,0,0,24,192.2,0,3361.2,0,707.8,0,0,117.2,3294.2,61.8,0,0,15.5,0,0,21,0,0,0,0,0,0,477,35.8,496.5,23,2,0,0,82.5,10,7.5,0,0,19.5,0,0,0,0
067,0,0,68,135.2,0,2958.8,0,905.2,0,0,132.2,4536.2,73.5,0,0,40.8,0,0,29.8,0,0,0,0,0,0,490.2,41.8,351,16,5.5,4,0,38.2,9,9,1,0,31,0,0,0,0
068,0,0,14,88,0,3712,0,739,0,0,77.7,4359,84,0,0,50,0,0,15.3,0,0,0,0,0,0,498,57.3,330,22.3,5.3,8.7,0,27.3,8,10,5.3,0,3.3,0,0,0,0
069,0,0,4.5,36.2,0,3742,0,689,0,0,93.2,4184.2,81.2,0,0,24,0,0,2,0,0,0,0,0,0,220,37.8,297.8,31.8,23,4,0,10.5,1.5,1.5,2,0,20.5,0,0,0,0
070,0,0,25.8,45.2,0,2198,0,675.8,0,0,56,2145,82.2,0,0,43.6,0,0,5.6,0,0,0,0,0,0,209.8,27.4,231.8,14.8,5.6,1.2,0,12,4.4,0.4,0.8,0,10.8,0,0,0,0
071,0,0,4,22,0,1850.5,0,494.8,0,0,64,2931,171.5,0,0,30.5,0,0,1.5,0,0,0,0,0,0,195,27.5,46,15.5,2.5,1,0,13,1.5,0.5,4,0,5.5,0,0,0,0
072,0,0,34,63.2,0,1483.5,0,667.8,0,0,181.2,4836.2,225,0,0,50.5,0,0,15.5,0,0,0,0,0,0,392.5,52.8,334.2,55.8,10.5,2,0,23.5,6.5,1.5,7.5,0,18.5,0,0,0,0
073,0,0,52.8,88.2,0,2641.5,0,749,0,0,179.5,4136.2,205.8,0,0,35,0,0,13,0,0,0,0,0,0,352.5,54.8,164,21,6.5,0.5,0,11.5,3.5,0.5,1.5,0,14,0,0,0,0
074,0,0,44.2,22,0,2922.8,0,1153.5,0,0,145.2,3818,100.8,0,0,36.5,0,0,8,0,0,0,0,0,0,198.2,38.2,328.5,35.8,4,1,0,10,3,0.5,2,0,4,0,0,0,0
075,0,0,16,48.2,0,3190,0,1209.8,0,0,87.8,3198.2,120.5,0,0,50.8,0,0,16,0,0,0,0,0,0,297.8,15.5,156,117,8,5,0,17,8,0.5,1,0,10.5,0,0,0,0
076,0,0,17.6,113,0,1963,0,793.6,0,0,100.6,3682.2,107,0,0,44.4,0,0,17.2,0,0,0,0,0,0,464,47.4,139.4,14.4,6.4,3.6,0,18.4,6.4,2,3.2,0,18,0,0,0,0
077,0,0,27.2,175.8,0,1477.8,0,550.6,0,0,96.2,3520.2,157.4,0,0,49.4,0,0,28.6,0,0,0,0,0,0,260.4,44.4,68.6,73.2,7.6,3.6,0,21.6,4,0.8,2.8,0,8.4,0,0,0,0
078,0,0,52.5,161.2,0,1850.8,0,531.8,0,0,114.5,4526.8,156,0,0,49.2,0,0,17,0,0,0,0,0,0,326,58.8,253.2,11.5,8.5,7,0,29.5,2.5,0.5,0.5,0,8.5,0,0,0,0
079,0,0,10.7,19.3,0,2922.7,0,632,0,0,147.3,2764.3,57,0,0,22,0,0,2.7,0,0,0,0,0,0,225.7,24.7,192.7,14,4.7,2,0,10.7,3.3,1.3,2.7,0,2,0,0,0,0
080,0,0,25,85.2,0,2681,0,985.8,0,0,142.8,5696.8,203.2,0,0,64,0,0,9.5,0,0,0,0,0,0,475.2,44,338.8,18.5,9.5,7.5,0,25.2,7,2,3.5,0,14,0,0,0,0
081,0,0,26,139.8,0,2709,0,847,0,0,180.5,5757.5,138.2,0,0,75.5,0,0,32.2,0,0,0,0,0,0,591.8,26,352.5,22.5,10.5,1,0,22,8.5,2,3.5,0,16.5,0,0,0,0
082,0,0,22.2,30.5,0,2575.2,0,889.5,0,0,108.2,1678.8,111.5,0,0,50.5,0,0,0.5,0,0,0,0,0,0,311.8,66.2,166.8,19.5,8.5,1.5,0,10,2.5,0,6,0,2,0,0,0,0
083,0,0,6,78.2,0,1963,0,1606.2,0,0,113,2749.5,114,0,0,34.5,0,0,3,0,0,0,0,0,0,431.2,22.5,99,11.5,8.5,0.5,0,16.5,9.5,0,5.5,0,13,0,0,0,0
084,0,0,2.4,52.8,0,2209,0,831.6,0,0,114.6,2717,165.6,0,0,32,0,0,1.2,0,0,0,0,0,0,314.2,39,203.8,17.6,7.2,2.8,0,6,2.8,1.2,0.4,0,10,0,0,0,0
085,0,0,11,122.2,0,2813.5,0,651,0,0,31,3170.2,98.2,0,0,22.5,0,0,2.5,0,0,0,0,0,0,238.2,23.5,91.2,13,10,1,0,11,5.5,0,0.5,0,6.5,0,0,0,0
086,0,0,18,20.5,0,1325.8,0,585,0,0,74,2462,145.5,0,0,25,0,0,4,0,0,0,0,0,0,174,33.2,190.5,8.5,4.5,2,0,12,6.5,0.5,2,0,10.5,0,0,0,0
087,0,0,57.5,17,0,2902.5,0,746.5,0,0,84.2,3083,129.5,0,0,27.5,0,0,6.5,0,0,0,0,0,0,222.8,31,249.8,9,8.5,2.5,0,9.5,5,1,4,0,10.5,0,0,0,0
088,0,0,2,27,0,3401.8,0,1059,0,0,122.2,1865,125,0,0,50.2,0,0,2,0,0,0,0,0,0,259.8,30.5,67.8,15,5.5,2.5,0,3,4.2,0,1.5,0,12,0,0,0,0
089,0,0,2.7,6.7,0,3625.7,0,1476,0,0,41.3,1870.7,88.3,0,0,34,0,0,0,0,0,0,0,0,0,260.3,23.3,79,8,10,0.7,0,10,2,0,0.7,0,2.7,0,0,0,0
090,0,0,4.8,52.8,0,3299.6,0,1272,0,0,233.4,5049,150.6,0,0,49.8,0,0,16.4,0,0,0,0,0,0,321.4,46.2,317.8,23.6,10.4,0.4,0,8.4,2.8,2.8,2,0,16.4,0,0,0,0
091,0,0,16,38.8,0,3506.6,0,1419.6,0,0,138,2375.2,204.2,0,0,41.8,0,0,2,0,0,0,0,0,0,240.8,26,181,23.2,7.6,4,0,7.6,2.8,0,1.2,0,7.2,0,0,0,0
092,0,0,8.5,32.5,0,5615.8,0,1605.8,0,0,193.8,4132.2,139.5,0,0,54,0,0,7,0,0,0,0,0,0,260.2,47.2,661.2,34.5,2.5,1,0,3,2,1,1,0,14.5,0,0,0,0
093,0,0,5,25.2,0,3807.5,0,799.2,0,0,126,2399,107.2,0,0,25.5,0,0,5.5,0,0,0,0,0,0,232.2,21,124,39.2,11.5,3,0,4.5,2.5,0,2.5,0,4.5,0,0,0,0
094,0,0,17.5,13,0,3488.2,0,1186.5,0,0,105.2,1993,143.8,0,0,20.5,0,0,1,0,0,0,0,0,0,241.8,36.2,172.8,19.5,6,2.5,0,4.5,3.5,0,4,0,3,0,0,0,0
095,0,0,0,8,0,3781.7,0,717,0,0,52.7,2078.7,110.7,0,0,14.7,0,0,0,0,0,0,0,0,0,271.7,21.3,149.3,6,7.3,1.3,0,0,0.7,2.7,0.7,0,6.7,0,0,0,0
096,0,0,7,32.2,0,1901.5,0,1096.5,0,0,116.8,2691,152,0,0,42.2,0,0,6,0,0,0,0,0,0,365.2,45,112.2,8.5,16,4,0,6.5,12,0,5.5,0,7.5,0,0,0,0
097,0,0,61.2,76,0,3796.6,0,1202,0,0,247.2,3569.6,121.4,0,0,48,0,0,6,0,0,0,0,0,0,369.4,53,500.4,43,6.4,4,0,6,13.2,13.6,6.4,0,8.8,0,0,0,0
098,0,0,21.2,66.6,0,3409.6,0,1825.6,0,0,261,3230.8,114.6,0,0,31.8,0,0,8,0,0,0,0,0,0,285.8,55,345.6,55.8,11.2,6.8,0,3.2,11.6,5.6,3.2,0,9.2,0,0,0,0
099,0,0,3,66.5,0,2771,0,863.8,0,0,342,4405.5,114,0,0,59,0,0,24,0,0,0,0,0,0,261.5,39.5,378.2,51.8,13,4.5,0,7,3,16.5,0.5,0,20.5,0,0,0,0
100,0,0,12,55,0,4381.8,0,825.5,0,0,173.2,2852.2,128.2,0,0,51,0,0,3.5,0,0,0,0,0,0,153.2,20.5,306,17,6,1.5,0,0.5,2,4.5,1.5,0,12.5,0,0,0,0
101,0,0,1,45.2,0,3359,0,644.5,0,0,154.8,3005,185,0,0,47.5,0,0,2,0,0,0,0,0,0,315,36,144.8,17,6,2.5,0,4,1.5,0,0,0,3.5,0,0,0,0
102,0,0,7.3,86.7,0,3835.7,0,622.3,0,0,327.3,5110.7,231.7,0,0,53.7,0,0,3.3,0,0,0,0,0,0,246.7,65,203.3,20.7,4,0,0,4.7,9.3,2.7,3.3,0,2.7,0,0,0,0
103,0,0,10.5,31.5,0,4101.8,0,1114.5,0,0,189.2,2401,139,0,0,51.5,0,0,0,0,0,0,0,0,0,424.8,54.8,126.8,16.5,4,0,0,2,8.5,3.5,2.5,0,5.5,0,0,0,0
104,0,0,0.8,32,0,2842.4,0,902,0,0,99,3146.4,150.8,0,0,51.4,0,0,0.4,0,0,0,0,0,0,312.6,59,172.6,8,3.6,1.2,0,4.8,1.2,4,1.2,0,6,0,0,0,0
105,0,0,36,36.7,0,5843.7,0,944.7,0,0,146.3,2088.7,106.3,0,0,40,0,0,0,0,0,0,0,0,0,403,56.3,285.3,41.3,4.7,4,0,9.3,4.7,1.3,0.7,0,4.7,0,0,0,0
106,0,0,18,16.5,0,2615.8,0,853.8,0,0,95.5,1327,426.5,0,0,41,0,0,1,0,0,0,0,0,0,370.5,64.5,77.5,4,17,0.5,0,1.5,8,9.5,3.5,0,4.5,0,0,0,0
107,0,0,2.5,49,0,4143,0,812.8,0,0,116,2888.5,71.5,0,0,27,0,0,4.5,0,0,0,0,0,0,90.5,7,327,19.8,0.5,1,0,5,2.5,2,1,0,0,0,0,0,0
108,0,0,2,89.8,0,4039.5,0,1373.8,0,0,360.8,5159.8,98.2,0,0,44,0,0,24,0,0,0,0,0,0,455.2,41.5,733.8,33.5,20,1,0,8.5,5,21,1.5,0,14,0,0,0,0
109,0,0,28,56.3,0,2965.3,0,944.7,0,0,170,1644,153.3,0,0,65,0,0,8.7,0,0,0,0,0,0,414,45.7,529,12.7,16.7,4.7,0,15.3,4,0,4.7,0,14,0,0,0,0
110,0,0,31,21.5,0,2096.5,0,1023.2,0,0,123,1353.5,70,0,0,50.2,0,0,5,0,0,0,0,0,0,358.2,53,180.5,33.8,8,4,0,11.5,6.5,7,2,0,7,0,0,0,0
111,0,0,9.5,92.8,0,1940.8,0,889.5,0,0,163,4262,89.8,0,0,25.5,0,0,17,0,0,0,0,0,0,457.5,32.5,208.8,48,7,0.5,0,9,3,5.5,4.5,0,4,0,0,0,0
112,0,0,13.6,28.2,0,4335.2,0,765.6,0,0,146.8,2354.6,97.8,0,0,56,0,0,0.8,0,0,0,0,0,0,201.6,44,192.6,32.4,4.4,0.4,0,1.2,1.2,16.8,0.4,0,3.2,0,0,0,0
113,0,0,8.5,45.8,0,2362.5,0,556,0,0,131.8,2631.2,108.8,0,0,49.2,0,0,4.5,0,0,0,0,0,0,135.5,23.5,268,27.5,5,0,0,0.5,0,4,1,0,2,0,0,0,0
114,0,0,25,132.5,0,3455.5,0,941.2,0,0,263.5,2636,134,0,0,19.5,0,0,18.5,0,0,0,0,0,0,204,25.5,158,34,8,2.5,0,7.5,1.5,4,2,0,7.5,0,0,0,0
115,0,0,26.7,132.7,0,3502.3,0,1386,0,0,199.7,2996.7,147,0,0,31.3,0,0,0,0,0,0,0,0,0,297.3,56.3,299.3,24.7,8,9.3,0,13.3,2,0.7,2,0,7.3,0,0,0,0
116,0,0,19.3,27.3,0,4021,0,1054.3,0,0,104.3,2498,157.7,0,0,59,0,0,2,0,0,0,0,0,0,227.7,94,313,22.7,8.7,2,0,6.7,4,6,0.7,0,4,0,0,0,0
117,0,0,61.2,46.8,0,4374,0,813.8,0,0,71,2118.8,162.8,0,0,55.2,0,0,0.5,0,0,0,0,0,0,282.8,90.8,317.8,41,10,2,0,5,5.5,9,1.5,0,1.5,0,0,0,0
118,0,0,4.7,16,0,3551,0,880.3,0,0,35.7,1799.7,66.3,0,0,36.7,0,0,1.3,0,0,0,0,0,0,183,14,166.3,10.7,5.3,0.7,0,0.7,3.3,2.7,0.7,0,2.7,0,0,0,0
119,0,0,17.5,13,0,1954.2,0,657,0,0,107.8,978.8,94,0,0,33.8,0,0,3,0,0,0,0,0,0,276,39.8,123.8,14,5,0,0,5,4.5,0,1.5,0,0.5,0,0,0,0
120,0,0,16,15.3,0,3035.3,0,1190.3,0,0,172.3,1092.3,60.7,0,0,31.7,0,0,0,0,0,0,0,0,0,107.3,17.3,33.7,22.7,4,0,0,1.3,2,13.3,0,0,0,0,0,0,0
