FullDate, Year, Month, DATE, Acrodictys, Agrocybe, Algae, Alternaria, Arthimium, Ascomycetes, Asperisporium, Basidiomycetes, Beltrania, Botrytis, Cercospora, Cladosporium, Curvularia, *D. conidia/hyphae, Dendryphiella, Drechslera/Helmintho., Dichotomophthora, Diplococcum, Epicoccum, Fusariella, Ganoderma, Helicomina, Microsporum, Misc. Fungus (Hyaline), Monodictys, Myxomycete/Smut, Nigrospora, Penicillium/Aspergillus, Periconia, Pestalotiopsis, Pithomyces, Powdery Mildew, Pseudocercospora, Puccinia, Rust, Spegazinia, Stemphyllium, Tetrapola, Tilletia, Torula
12/17/2013,2013,12,17, NA, NA,16,14, NA,972, NA,510, NA, NA,48,1038, NA, NA, NA,12, NA, NA,8, NA, NA, NA, NA, NA, NA,100, NA,58,30, NA,2, NA, NA, NA,2,4, NA, NA, NA,18
12/19/2013,2013,12,19, NA, NA, NA,8, NA,328, NA,121, NA, NA, NA,656,24, NA, NA,10, NA, NA,10, NA, NA, NA, NA, NA, NA,50, NA, NA, NA, NA, NA,2, NA, NA, NA,4, NA, NA, NA,4
12/20/2013,2013,12,20, NA, NA,40,52, NA,346, NA,119, NA, NA, NA,1383,8, NA, NA,10, NA, NA,12, NA, NA, NA, NA, NA, NA,253,18,58,10, NA,6, NA, NA, NA,8,12, NA, NA, NA,14
12/26/2013,2013,12,26, NA, NA, NA,8, NA,888, NA,360, NA, NA, NA,1640,4, NA, NA,6, NA, NA,4, NA, NA, NA, NA, NA, NA,24, NA,174,6, NA, NA, NA, NA, NA,2,2, NA,2, NA,4
12/27/2013,2013,12,27, NA, NA, NA,20, NA,682, NA,324, NA, NA, NA,1605,14, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA,64, NA,107,4, NA, NA,2, NA, NA, NA, NA, NA,2, NA,6
12/30/2013,2013,12,30, NA, NA,24,44, NA,607, NA,206, NA, NA,4,1858,10, NA, NA,8, NA, NA,52, NA, NA, NA, NA, NA, NA,113, NA,518,8, NA,4, NA, NA, NA,4,2,2, NA, NA,10
12/31/2013,2013,12,31, NA, NA, NA,40, NA,319, NA,198, NA, NA,4,1615, NA, NA, NA,12, NA, NA,22, NA, NA, NA, NA, NA, NA,109, NA,220, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
11/1/2013,2013,11,1, NA, NA, NA,62, NA,1701, NA,180, NA, NA,8,1441,12, NA, NA,16, NA, NA,4, NA, NA, NA, NA, NA, NA,85, NA,64, NA, NA, NA, NA, NA, NA,6, NA, NA, NA, NA, NA
11/5/2013,2013,11,5, NA, NA,36,32, NA,1072, NA,864, NA, NA,150,2331,20, NA, NA,12, NA, NA,4, NA, NA, NA, NA, NA, NA,235,16,919,12, NA,4, NA, NA, NA,16, NA,24, NA, NA, NA
11/6/2013,2013,11,6, NA, NA,81,24, NA,720, NA,628, NA, NA,68,1499,48, NA, NA,44, NA, NA,6, NA, NA, NA, NA, NA, NA,146,28,216,10, NA,22, NA, NA, NA,18, NA,8, NA, NA, NA
11/7/2013,2013,11,7, NA, NA,68,6, NA,3414, NA,1696, NA, NA,384,4082,54, NA, NA,72, NA, NA,24, NA, NA, NA, NA, NA, NA,406,12,368,12, NA, NA, NA, NA, NA,20,2,44, NA, NA,18
11/8/2013,2013,11,8, NA, NA,158,16, NA,1122, NA,920, NA, NA,76,1858,44, NA, NA,60, NA, NA,8, NA, NA, NA, NA, NA, NA,106,4,584,26, NA,10, NA, NA, NA,4,6,80, NA, NA,2
11/12/2013,2013,11,12, NA, NA,42,12, NA,1126, NA,2170, NA, NA,324,3442,18, NA, NA,10, NA, NA,14, NA, NA, NA, NA, NA, NA,230,32,320,16, NA,4, NA, NA, NA,10,16,8, NA, NA,2
11/13/2013,2013,11,13, NA, NA,234,86, NA,1354, NA,1705, NA, NA,158,5480,12, NA, NA,46, NA, NA,32, NA, NA, NA, NA, NA, NA,458,32,526,36, NA, NA, NA, NA, NA,76,4,113, NA, NA,20
11/14/2013,2013,11,14, NA, NA,60,24, NA,808, NA,500, NA, NA,130,1786,16, NA, NA,32, NA, NA,12, NA, NA, NA, NA, NA, NA,186,6,110,20, NA,12, NA, NA, NA,36,8,92, NA, NA,32
11/15/2013,2013,11,15, NA, NA,44,12, NA,436, NA,282, NA, NA,110,1266,20, NA, NA,28, NA, NA,22, NA, NA, NA, NA, NA, NA,154,24,118,22, NA,4, NA, NA, NA,14,6,8, NA, NA,16
11/18/2013,2013,11,18, NA, NA,42,8, NA,1786, NA,412, NA, NA,280,920, NA, NA, NA,36, NA, NA,2, NA, NA, NA, NA, NA, NA,372,8, NA,6, NA,12, NA, NA, NA,4,20,18, NA, NA,2
11/19/2013,2013,11,19, NA, NA,54,154, NA,1592, NA,1464, NA, NA,940,13474,86, NA, NA,44, NA, NA,36, NA, NA, NA, NA, NA, NA,2394,56,468,84, NA, NA,8, NA, NA, NA,6,68,8, NA,28
11/20/2013,2013,11,20, NA, NA,86,68, NA,1904, NA,1004, NA, NA,256,5654,72, NA, NA,36, NA, NA,12, NA, NA, NA, NA, NA, NA,348,16,202,66, NA,2,4, NA, NA,36,4, NA, NA, NA,6
11/21/2013,2013,11,21, NA, NA,8,14, NA,1552, NA,430, NA, NA,128,5152,54, NA, NA,70, NA, NA,4, NA, NA, NA, NA, NA, NA,398,4,138,16, NA, NA,4, NA, NA,8, NA, NA,2, NA,4
11/22/2013,2013,11,22, NA, NA, NA,22, NA,1838, NA,660, NA, NA,190,2644,24, NA, NA,28, NA, NA,2, NA, NA, NA, NA, NA, NA,200,12,68,40, NA, NA,4, NA, NA,22, NA,10, NA, NA,8
11/25/2013,2013,11,25, NA, NA,413,4, NA,2304, NA,618, NA, NA,148,1702, NA, NA, NA, NA, NA, NA,4, NA, NA, NA, NA, NA, NA,124,10,324,10, NA, NA,6, NA, NA,8,2,34, NA, NA,2
11/26/2013,2013,11,26, NA, NA, NA, NA, NA,10, NA,110, NA, NA,12,368, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA,30, NA,200,4, NA, NA,6, NA, NA, NA, NA, NA, NA, NA, NA
10/1/2013,2013,10,1, NA, NA, NA,4, NA,2673, NA,2154, NA, NA,26,388,32, NA, NA,14, NA, NA, NA, NA, NA, NA, NA, NA, NA,166, NA,48,2, NA, NA, NA, NA, NA,6, NA, NA, NA, NA, NA
10/2/2013,2013,10,2, NA, NA, NA,8, NA,1822, NA,834, NA, NA,135,3272,95, NA, NA,58, NA, NA,4, NA, NA, NA, NA, NA, NA,192,50,200,8, NA,2, NA, NA, NA,4, NA, NA, NA, NA,2
10/3/2013,2013,10,3, NA, NA,8,6, NA,3029, NA,1816, NA, NA,46,2656,89, NA, NA,76, NA, NA, NA, NA, NA, NA, NA, NA, NA,277,40,60,6, NA,4,2, NA, NA,6,2, NA,2, NA, NA
10/4/2013,2013,10,4, NA, NA, NA,4, NA,3448, NA,1921, NA, NA,56,1435,99, NA, NA,32, NA, NA,2, NA, NA, NA, NA, NA, NA,212,60,99,2, NA,6,10, NA, NA,6,4, NA,2, NA, NA
10/7/2013,2013,10,7, NA, NA,16,435, NA,5674, NA,704, NA, NA,10,5528,46, NA, NA,38, NA, NA,4, NA, NA, NA, NA, NA, NA,313,8,113,4, NA,22, NA, NA, NA,20,8, NA, NA, NA,22
10/8/2013,2013,10,8, NA, NA,12,196, NA,1555, NA,888, NA, NA,46,3948,62, NA, NA,46, NA, NA,2, NA, NA, NA, NA, NA, NA,293,16,113,4, NA, NA, NA, NA, NA,16, NA, NA, NA, NA,4
10/9/2013,2013,10,9, NA, NA, NA,155, NA,1129, NA,714, NA, NA,117,2685,44, NA, NA,18, NA, NA,10, NA, NA, NA, NA, NA, NA,147,6,68,12, NA,12, NA, NA, NA,24,6, NA, NA, NA,10
10/10/2013,2013,10,10, NA, NA, NA,36, NA,1008, NA,544, NA, NA,76,3090,16, NA, NA,52, NA, NA, NA, NA, NA, NA, NA, NA, NA,137,40,275,44, NA, NA,4, NA, NA,4, NA, NA, NA, NA, NA
10/11/2013,2013,10,11, NA, NA, NA,24, NA,801, NA,400, NA, NA,8,2830,48, NA, NA,28, NA, NA, NA, NA, NA, NA, NA, NA, NA,364,10,348,18, NA, NA,4, NA, NA,22, NA, NA, NA, NA, NA
10/14/2013,2013,10,14, NA, NA,24,8, NA,1441, NA,429, NA, NA,91,1871,36, NA, NA,32, NA, NA, NA, NA, NA, NA, NA, NA, NA,184,32, NA,20, NA, NA, NA, NA, NA,10, NA, NA, NA, NA,8
10/15/2013,2013,10,15, NA, NA,8,97, NA,1678, NA,795, NA, NA,70,2861,151, NA, NA,74, NA, NA, NA, NA, NA, NA, NA, NA, NA,202,36,28,326, NA,4,2, NA, NA, NA, NA, NA,2, NA, NA
10/16/2013,2013,10,16, NA, NA, NA,36, NA,2018, NA,1399, NA, NA,54,3156,103, NA, NA,28, NA, NA,4, NA, NA, NA, NA, NA, NA,208,22,303,8, NA,2,4, NA, NA,12,2,2,2, NA, NA
10/17/2013,2013,10,17, NA, NA, NA,8, NA,6482, NA,3165, NA, NA,12,1336,28, NA, NA,14, NA, NA, NA, NA, NA, NA, NA, NA, NA,222, NA, NA,396, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
10/18/2013,2013,10,18, NA, NA, NA,16, NA,4884, NA,2644, NA, NA,48,2417,36, NA, NA,36, NA, NA,4, NA, NA, NA, NA, NA, NA,131, NA,388,26, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
10/21/2013,2013,10,21, NA, NA, NA,24, NA,1038, NA,407, NA, NA,32,2508,20, NA, NA,16, NA, NA,4, NA, NA, NA, NA, NA, NA,119, NA,85,18, NA, NA, NA, NA, NA,6, NA, NA,2, NA, NA
10/22/2013,2013,10,22, NA, NA, NA,4, NA,1952, NA,996, NA, NA,16,801,30, NA, NA,44, NA, NA, NA, NA, NA, NA, NA, NA, NA,99, NA,113,8, NA,2, NA, NA, NA,14,4, NA, NA, NA,2
10/24/2013,2013,10,24, NA, NA, NA,52, NA,1166, NA,777, NA, NA,16,2069,28, NA, NA,64, NA, NA,4, NA, NA, NA, NA, NA, NA,216, NA,202,4, NA,4,14, NA, NA,18,4, NA, NA, NA, NA
10/25/2013,2013,10,25, NA, NA,16,80, NA,1170, NA,1178, NA, NA,32,3280,85, NA, NA,89, NA, NA,4, NA, NA, NA, NA, NA, NA,364, NA,78,22, NA, NA,4, NA, NA,18,10, NA,4, NA,2
10/28/2013,2013,10,28, NA, NA, NA,16, NA,3136, NA,791, NA, NA,6,1140, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA,58,4,64, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
10/29/2013,2013,10,29, NA, NA,24,24, NA,1664, NA,805, NA, NA,68,3049,48, NA, NA,40, NA, NA, NA, NA, NA, NA, NA, NA, NA,151,10,145, NA, NA, NA, NA, NA, NA,18, NA,2, NA, NA,6
10/30/2013,2013,10,30, NA, NA,4,20, NA,1858, NA,1506, NA, NA,99,4374,56, NA, NA,46, NA, NA, NA, NA, NA, NA, NA, NA, NA,135,16,85,18, NA,6,4, NA, NA,10, NA,2, NA, NA,2
9/3/2013,2013,9,3, NA, NA,20,14, NA,684, NA,286, NA, NA,42,885,22, NA, NA,18, NA, NA,12, NA, NA, NA, NA, NA, NA,374,85, NA,30, NA,4, NA, NA, NA,16,12, NA, NA, NA, NA
9/4/2013,2013,9,4, NA, NA,8,42, NA,458, NA,204, NA, NA,85,1510,50, NA, NA,32, NA, NA,4, NA, NA, NA, NA, NA, NA,120,24, NA,22, NA, NA, NA, NA, NA, NA,4,8, NA, NA,6
9/5/2013,2013,9,5, NA, NA, NA,28, NA,275, NA,198, NA, NA,32,846,81, NA, NA,34, NA, NA, NA, NA, NA, NA, NA, NA, NA,126,56,508,52, NA,4, NA, NA, NA,6,8,36,2, NA, NA
9/6/2013,2013,9,6, NA, NA,42,16, NA,928, NA,376, NA, NA,126,1688,110, NA, NA,109, NA, NA, NA, NA, NA, NA, NA, NA, NA,230,34,26,60, NA, NA, NA, NA, NA,8,8,14, NA, NA, NA
9/9/2013,2013,9,9, NA, NA,12,54, NA,1676, NA,322, NA, NA,46,2758,55, NA, NA,20, NA, NA,18, NA, NA, NA, NA, NA, NA,164,34, NA,8, NA,2, NA, NA, NA, NA, NA,14, NA, NA, NA
9/10/2013,2013,9,10, NA, NA,20,18, NA,3852, NA,628, NA, NA,230,3754,152, NA, NA,182, NA, NA, NA, NA, NA, NA, NA, NA, NA,128,116,376,78, NA,18, NA, NA, NA,2, NA,62, NA, NA, NA
9/11/2013,2013,9,11, NA, NA,36,24, NA,568, NA,1034, NA, NA,86,1620,34, NA, NA,12, NA, NA,30, NA, NA, NA, NA, NA, NA,959,48,126,102, NA,6, NA, NA, NA,12,4,18,6, NA, NA
9/12/2013,2013,9,12, NA, NA,28,12, NA,911, NA,536, NA, NA,70,1725,76, NA, NA,109, NA, NA, NA, NA, NA, NA, NA, NA, NA,554,134,350,12, NA,2, NA, NA, NA,2, NA,28, NA, NA, NA
9/16/2013,2013,9,16, NA, NA, NA,26, NA,2472, NA,1094, NA, NA,38,2399,80, NA, NA,24, NA, NA,4, NA, NA, NA, NA, NA, NA,394,109, NA,6, NA, NA, NA, NA, NA, NA,2,30, NA, NA, NA
9/18/2013,2013,9,18, NA, NA, NA,46, NA,2229, NA,1810, NA, NA,126,5250,260, NA, NA,105, NA, NA, NA, NA, NA, NA, NA, NA, NA,656,120,236, NA, NA,4, NA, NA, NA,12, NA,8, NA, NA, NA
9/19/2013,2013,9,19, NA, NA,18,28, NA,2268, NA,2033, NA, NA,311,2430,178, NA, NA,118, NA, NA, NA, NA, NA, NA, NA, NA, NA,579,64,166,16, NA, NA, NA, NA, NA, NA,10,8, NA, NA, NA
9/23/2013,2013,9,23, NA, NA, NA,24, NA,3645, NA,1440, NA, NA,616,12484,36, NA, NA,92, NA, NA,42, NA, NA, NA, NA, NA, NA,243,86,638,30, NA, NA,4, NA, NA,18, NA,40,2, NA,12
9/24/2013,2013,9,24, NA, NA,36,52, NA,4246, NA,2856, NA, NA,184,4490,26, NA, NA,61, NA, NA, NA, NA, NA, NA, NA, NA, NA,474,68,236,16, NA,24, NA, NA, NA,8,12,18, NA, NA,2
9/25/2013,2013,9,25, NA, NA,146,170, NA,2089, NA,2709, NA, NA,284,5613,50, NA, NA,48, NA, NA,24, NA, NA, NA, NA, NA, NA,680,86,1840,48, NA,6, NA, NA, NA,10,6,36, NA, NA, NA
9/26/2013,2013,9,26, NA, NA, NA,87, NA,1792, NA,1048, NA, NA,230,4662,24, NA, NA,97, NA, NA,20, NA, NA, NA, NA, NA, NA,334,66,110,16, NA,30, NA, NA, NA,4,28, NA, NA, NA,4
9/30/2013,2013,9,30, NA, NA,16, NA, NA,4970, NA,3608, NA, NA,132,4702, NA, NA, NA,30, NA, NA,10, NA, NA, NA, NA, NA, NA,218,85,954,4, NA, NA, NA, NA, NA,8, NA, NA, NA, NA, NA
8/1/2013,2013,8,1, NA, NA, NA,110, NA,948, NA,304, NA, NA,240,2862,43, NA, NA,41, NA, NA,37, NA, NA, NA, NA, NA, NA,273,46,162,50, NA, NA, NA, NA, NA,8,4,4,6, NA,18
8/2/2013,2013,8,2, NA, NA,6,92, NA,1402, NA,266, NA, NA,150,3616,118, NA, NA,68, NA, NA,28, NA, NA, NA, NA, NA, NA,370,86,108,84, NA, NA, NA, NA, NA,4,2,10,2, NA, NA
8/5/2013,2013,8,5, NA, NA, NA,12, NA,706, NA,172, NA, NA,6,2031,24, NA, NA,8, NA, NA,10, NA, NA, NA, NA, NA, NA,79,8,101,4, NA, NA,4, NA, NA,6,2, NA, NA, NA, NA
8/6/2013,2013,8,6, NA, NA,8,58, NA,1206, NA,162, NA, NA,101,1626,174, NA, NA,32, NA, NA,18, NA, NA, NA, NA, NA, NA,216,38, NA,8, NA,12, NA, NA, NA,14,2,6, NA, NA,4
8/7/2013,2013,8,7, NA, NA,32,113, NA,405, NA,145, NA, NA,72,1611,56, NA, NA,36, NA, NA,20, NA, NA, NA, NA, NA, NA,283,70, NA,16, NA,12,4, NA, NA,4, NA, NA,4, NA,14
8/8/2013,2013,8,8, NA, NA,8,103, NA,435, NA,127, NA, NA,60,1415,42, NA, NA,38, NA, NA,20, NA, NA, NA, NA, NA, NA,123,60, NA,6, NA,2, NA, NA, NA,8, NA,2,4, NA,4
8/9/2013,2013,8,9, NA, NA, NA,48, NA,645, NA,93, NA, NA,66,1711,30, NA, NA,36, NA, NA,10, NA, NA, NA, NA, NA, NA,131,60, NA,4, NA,6, NA, NA, NA,4,2, NA, NA, NA, NA
8/12/2013,2013,8,12, NA, NA,8,10, NA,1698, NA,78, NA, NA,6,852,8, NA, NA,8, NA, NA,6, NA, NA, NA, NA, NA, NA,60,26,87, NA, NA,4,10, NA, NA, NA,2, NA, NA, NA, NA
8/13/2013,2013,8,13, NA, NA,8,66, NA,1409, NA,129, NA, NA,93,1617,255, NA, NA,105, NA, NA,14, NA, NA, NA, NA, NA, NA,267,141,275,4, NA,18, NA, NA, NA,4,6,2,4, NA, NA
8/14/2013,2013,8,14, NA, NA, NA,139, NA,1247, NA,234, NA, NA,299,3742,119, NA, NA,70, NA, NA,18, NA, NA, NA, NA, NA, NA,253,247,153,24, NA,6,8, NA, NA,4, NA,14,8, NA,4
8/15/2013,2013,8,15, NA, NA,24,36, NA,2913, NA,178, NA, NA,72,1287,38, NA, NA,24, NA, NA,24, NA, NA, NA, NA, NA, NA,105,60, NA,14, NA,14, NA, NA, NA,12, NA,8, NA, NA, NA
8/16/2013,2013,8,16, NA, NA,16,60, NA,3790, NA,364, NA, NA,56,2770,14, NA, NA,28, NA, NA,6, NA, NA, NA, NA, NA, NA,90,101, NA,8, NA,4, NA, NA, NA,2, NA, NA, NA, NA,2
8/19/2013,2013,8,19, NA, NA, NA,90, NA,2857, NA,415, NA, NA,119,2589,60, NA, NA,60, NA, NA,22, NA, NA, NA, NA, NA, NA,139,107,117,8, NA,4, NA, NA, NA, NA, NA, NA, NA, NA, NA
8/20/2013,2013,8,20, NA, NA,16,172, NA,923, NA,716, NA, NA,955,4288,153, NA, NA,105, NA, NA,20, NA, NA, NA, NA, NA, NA,208,192,230,12, NA,6,8, NA, NA, NA,2,4,4, NA,18
8/21/2013,2013,8,21, NA, NA, NA,52, NA,2365, NA,1263, NA, NA,81,1458,103, NA, NA,56, NA, NA,28, NA, NA, NA, NA, NA, NA,492,76, NA,26, NA,8, NA, NA, NA,6,10, NA,4, NA, NA
8/22/2013,2013,8,22, NA, NA, NA,40, NA,1547, NA,2203, NA, NA,80,1595,97, NA, NA,34, NA, NA,4, NA, NA, NA, NA, NA, NA,190,72,120, NA, NA,2, NA, NA, NA, NA, NA, NA,2, NA,14
8/23/2013,2013,8,23, NA, NA,32,14, NA,1142, NA,1239, NA, NA,22,1251,36, NA, NA,20, NA, NA, NA, NA, NA, NA, NA, NA, NA,147,52, NA, NA, NA, NA,10, NA, NA, NA, NA, NA, NA, NA, NA
8/26/2013,2013,8,26, NA, NA, NA,32, NA,1676, NA,473, NA, NA,115,2211,97, NA, NA,44, NA, NA,8, NA, NA, NA, NA, NA, NA,245,85,255,2, NA,4,4, NA, NA,6,4, NA,10, NA, NA
8/28/2013,2013,8,28, NA, NA, NA,16, NA,4932, NA,1397, NA, NA,60,2077,107, NA, NA,131, NA, NA, NA, NA, NA, NA, NA, NA, NA,137,62,206,8, NA, NA, NA, NA, NA,14,2, NA, NA, NA,4
8/29/2013,2013,8,29, NA, NA, NA,101, NA,1279, NA,558, NA, NA,226,5807,222, NA, NA,105, NA, NA,12, NA, NA, NA, NA, NA, NA,328,194,218,20, NA,12, NA, NA, NA,4,8, NA,6, NA, NA
8/30/2013,2013,8,30, NA, NA,40,174, NA,996, NA,969, NA, NA,170,5878,166, NA, NA,99, NA, NA,10, NA, NA, NA, NA, NA, NA,445,208,354,22, NA,8, NA, NA, NA,10, NA, NA,6, NA,8
7/1/2013,2013,7,1, NA, NA,24,110, NA,1104, NA,150, NA, NA,16,1269,10, NA, NA,12, NA, NA,10, NA, NA, NA, NA, NA, NA,67,4,38,6, NA,14, NA, NA, NA, NA,2,18, NA, NA,6
7/2/2013,2013,7,2, NA, NA,16,46, NA,1260, NA,325, NA, NA,6,625,8, NA, NA,14, NA, NA,26, NA, NA, NA, NA, NA, NA,182, NA,120,10, NA,12, NA, NA, NA, NA,2,4, NA, NA,6
7/4/2013,2013,7,4, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
7/5/2013,2013,7,5, NA, NA,8,38, NA,1350, NA,240, NA, NA,36,1383,20, NA, NA,4, NA, NA,12, NA, NA, NA, NA, NA, NA,44,2,100,8, NA, NA,4, NA, NA, NA,4,8, NA, NA,4
7/6/2013,2013,7,6, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
7/7/2013,2013,7,7, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
7/8/2013,2013,7,8, NA, NA,26,42, NA,1100, NA,80, NA, NA,8,1000,6, NA, NA,10, NA, NA,12, NA, NA, NA, NA, NA, NA,82, NA, NA,6, NA,4, NA, NA, NA, NA, NA,4, NA, NA,2
7/9/2013,2013,7,9, NA, NA,48, NA, NA,1288, NA,588, NA, NA,44,1310,16, NA, NA,2, NA, NA, NA, NA, NA, NA, NA, NA, NA,60,4, NA, NA, NA, NA, NA,12, NA, NA,2, NA, NA, NA, NA
7/10/2013,2013,7,10, NA, NA, NA,14, NA,1118, NA,158, NA, NA,20,1212,4, NA, NA,8, NA, NA,22, NA, NA, NA, NA, NA, NA,78, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA,12, NA, NA, NA
7/11/2013,2013,7,11, NA, NA,16,130, NA,680, NA,300, NA, NA,110,3378,24, NA, NA,68, NA, NA,20, NA, NA, NA, NA, NA, NA,76,28, NA,6, NA,2, NA, NA, NA,4, NA, NA, NA, NA,2
7/12/2013,2013,7,12, NA, NA,42,120, NA,2102, NA,714, NA, NA,208,3462,44, NA, NA,56, NA, NA,132, NA, NA, NA, NA, NA, NA,259,48,62,76, NA,10, NA, NA, NA,8, NA,22, NA, NA,2
7/13/2013,2013,7,13, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
7/14/2013,2013,7,14, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
7/15/2013,2013,7,15, NA, NA,18,45, NA,960, NA,504, NA, NA,88,4132,32, NA, NA,30, NA, NA,22, NA, NA, NA, NA, NA, NA,362,42,50,20, NA,4, NA, NA, NA,2, NA,20, NA, NA, NA
7/16/2013,2013,7,16, NA, NA, NA,30, NA,3594, NA,668, NA, NA,22,1382,16, NA, NA,24, NA, NA,12, NA, NA, NA, NA, NA, NA,122,40,252,20, NA, NA, NA,12, NA,8, NA, NA, NA, NA,14
7/17/2013,2013,7,17, NA, NA,12,26, NA,4050, NA,845, NA, NA,72,1276,20, NA, NA,52, NA, NA, NA, NA, NA, NA, NA, NA, NA,114,20,83,6, NA, NA, NA, NA, NA,2, NA,4, NA, NA, NA
7/18/2013,2013,7,18, NA, NA, NA, NA, NA,952, NA,379, NA, NA,30,2535,2, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA,78,12,206,10, NA, NA, NA, NA, NA,2, NA, NA, NA, NA, NA
